subject,topic,Title,question,image,option1,option2,option3,option4,option5,explain,correct,selected,answered,answeredCorrectly
Physics & Equipment,Equipment,Monitoring 1,Which of the following is most correct regarding the Swan-Ganz Pulmonary Artery (PA) Catheter?,,There are no contraindications to insertion of a PA catheter,It is not possible to measure central venous pressure using a PA catheter,The catheter is 50cm long and the correct insertion length is 30-40 cm for the internal jugular vein,"The indications for PA catheter are: major cardiovascular surgery, right heart mass or tumour, endocarditis and  dysrhythmias",The normal Central Venous Pressure(CVP) is 5 - 15 mmHg and the normal Right Ventricle pressure is 0 - 25 mmHg,"The Swan-Ganz catheter is a long central line with a pressure transducer, thermistor and injection port. It was designed to help assess the cardiac output to guide fluid administration, vasopressor and inotrope infusions. It is 110 cm long and is inserted to a length of 40 cm from the internal jugular vein to the pulmonary artery. The pressure transducer transmits the pressure from each vessel through",The normal Central Venous Pressure(CVP) is 5 - 15 mmHg and the normal Right Ventricle pressure is 0 - 25 mmHg,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Monitoring 2,An arterial cannula can be useful to measure the beat by beat blood pressure in patients undergoing anaesthesia. Which of the following arteries would give the narrowest peak of the pulse pressure?,,Carotid Artery,Dorsalis pedis,Brachial Artery ,Ascending Aorta,Radial Artery,The more distal arteries exhibit a much narrower peak of the arterial trace than proximal arteries. The more distal pulses are amplified by reflected waves which leads to a narrower and higher peak as the waves stack. See the diagram for an example.,Dorsalis pedis,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Monitoring 3,Which of the following is most correct regarding pulse oximetry?,https://i.imgur.com/7vE0Bez.png,The SpO2 is determined by absorption at wavelengths 330nm and 640nm,Oxyhaemoglobin has peak absorbency at 640nm.,Fetal haemoglobin gives an abnormally high saturation reading,Methaemoglobinaemia causes SpO2 to read as 85%,The pulse oximeter is inaccurate above 95%,"The Oxygen Saturations Probe uses pulses of light of 660 and 940nm wavelength passes through the finger or ear. Oxygenated haemoglobin absorbs more at 940 and deoxygenated Hb absorbs more at 660nm. The probe measures the difference in the amount of light that passes through and calculates the saturations. CarboxyHb causes an overestimate of Hb, and MetHb reads about 85% regardless of oxygen concentration. If either condition is suspected then patients should be given supplemental oxygen. The sats probe is less accurate below 75%.",Methaemoglobinaemia causes SpO2 to read as 85%,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Monitoring 4,The Oxygen Saturations Probe uses pulses of light of 660 and 940nm wavelength passes through the finger or ear. What is Beer's Law?,https://i.imgur.com/7vE0Bez.png,Light is scattered proportional to the molecular weight of the substance through which it passes,Absorption of light is inversely proportional to the molecular weight of the substance,The absorption of light is proportional to the length travelled,The absorption of light when passing through a substance is proportional to the concentration of the substance,Absorption of light is inversely proportional to the lightness of colour of the substance,Beer's Law is that the absorption of light is proportional to the concentration of the substance. Lambert's law is that the absorption is proportional to the length of the substance and these are sometimes combined into the Beer-Lambert law.,The absorption of light when passing through a substance is proportional to the concentration of the substance,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Monitoring 5,Which of the following is most likely to cause  inaccuracy in pulse oximetry?,,Fetal Haemoglobin,Hyperthermia,Methaemoglobinaemia,Upper Limb amputation,Anaemia,Methaemoglobinaemia is a condition where haemoglobin exists in the oxidised state and causes pulse oximetry to read close to 85% even if the true saturations are higher or lower. An arterial blood gas measurement should be taken and The treatment is to give oxygen supplementation via a facemask and if symptomatic to consider treatment with Methylene blue.,Methaemoglobinaemia,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Neonatal 1,Which of the following foetal circulation adaptations is most correct?,,Autoregulation of blood supply to the brain influences cardiac output,The highly oxygenated blood returning from the placenta is shunted into the liver by the ductus venosus,Oxygenated haemoglobin is  preferentially ejected to the brain via the right ventricle and the ductus arteriosus,The highly oxygenated haemoglobin is preferentially ejected to the brain via the foramen ovale and left ventricle,Maternal haemoglobin has a higher affinity for oxygen so oxygen is transferred from foetal to maternal circulation across the placenta,The eustachian valve functions to take advantage of the slight difference in mass between oxygenated and deoxygenated blood. It diverts more oxygenated blood through the foramen ovale to the left atrium and left ventricle. In this way the oxygenated blood is preferentially diverted to the head.,The highly oxygenated haemoglobin is preferentially ejected to the brain via the foramen ovale and left ventricle,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Nerve Stimulators 1,A 70kg patient underwent a rapid sequence induction 1 hour ago. The estimated remaining neuromuscular blockade is > 95%. Which is the best pattern of nerve stimulation to test for satisfactory reversal of blockade?,https://i.imgur.com/ZEGTj10.jpg,Double Burst,Post-tetanic count,Single Twitch,Tetanic stimulation,Train of four,"Profound neuromuscular block is necessary for a still surgical field when movement could have profound consequences e.g. Retinal surgery. Post-tetanic count is useful for measuring the degree of block in this case because TOF, single burst and double burst may not produce any effect. The post-tetanic count depends on residual acetylcholine remaining after the tetanic stimulation leading to a heightened response to further stimulations (post-tetanic facilitation). The first twitch of TOF will return when the post-tetanic count is 9. https://www.nejm.org/doi/full/10.1056/NEJMvcm1603741",Post-tetanic count,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,NMBAs 1,Rocuronium can be used in a modified Rapid Sequence Induction owing to it's fast onset of action. What is the reason for it's fast onset?,,Rocuronium has high lipid solubility,Rocuronium doesn't require a priming dose,Rocuronium is a benzylisoquinolinium,Rocuronium has pre and post junctional activity,Rocuronium has a low potency,Rocuronium is an aminosteroid with a low potency so is given in higher doses. This high dose leads to a fast onset of action and intubating conditions can be achieved within 60 seconds. Rocuronium does not require priming doses but this is not the reason. Rocuronium (like all neuromuscular blockers) has a low lipid solubility. Rocuronium does not have pre and post junctional activity.,Rocuronium has a low potency,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,NMBAs 2,A 26 year old man  is booked to undergo a thyroidectomy and requires intubation. He reports that last time he had an anaesthetic he had to be admitted to intensive care for 6 hours due to a breathing problem but went home the next day. What would be the most appropriate muscle relaxant for this procedure?,,Mivacurium,Rocuronium,Suxamethonium,No muscle relaxant required for insertion of endotracheal tube in this case,Propofol and Remifentanil target controlled infusions,This patient may have a history of Suxamethonium apnoea requires intubation for the procedure. Suxamethonium and Mivacurium would be poorly metabolised and take hours to wear off. Rocuronium is the safest choice. Muscle relaxant is preferrable for insertion of endotracheal tubes. Propofol and Remifentanil might not satisfactorily relax the patient for intubation. ,Rocuronium,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,NMBAs 3,Which of the following is a cause  of phase 2 block?,https://i.imgur.com/ZEGTj10.jpg,Non-depolarising muscular blocker given to someone with atypical pseudocholinesterase,Depolarising neuromuscular blocker given to a patient with Myasthenia Gravis,Second dose of depolarising neuromuscular blocker,Depolarising neuromuscular blocker and gentamicin interaction,Depolarising neuromuscular blocker given to a patient suffering burns >24 hours ago,"Suxamethonium blocks the neuromuscular junction but the pattern of block varies when stimulated by the nerve stimulator. Phase 1 block can be seen after a single dose and demonstrates a reduction in amplitude of all 4 twitches as they return. Phase 2 block is seen after a second dose, or after starting an infusion, and the pattern on the train-of-four is a progressive diminution of the twitches which is similar to the block seen with non-depolarising neuromuscular blockers.",Second dose of depolarising neuromuscular blocker,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,NMBAs 4,Regarding Sugammadex:,,Sugammadex binds to aminosteroid at the neuromuscular junction,Sugammadex binds to rocuronium in a 1:2 ratio,Sugammadex is a beta-cyclodextrin,The concentration of rocuronium in plasma decreases after administering sugammadex,Sugammadex binds to aminosteroid in the plasma,"Sugammadex is a gamma-cyclodextrin that binds to rocuronium in a 1:1 ratio.  in the plasma which decreases the free concentration, although after administration the plasma concentration of rocuronium increases.",Sugammadex binds to aminosteroid in the plasma,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,NMJ 1,A 55 year old woman has undergone botulinum toxin injection. Which of the following is true about botulinum toxin?,,Botox injection in the face in unlikely to affect  the action of nerve stimulators,Botox injection is ineffective against underarm sweating,Botulinum toxin injection is recommended for treatment of chronic migraine,Botulinum toxin works by causing excessive release of Acetylcholine from the nerve terminal,Botulinum toxin is a cause of Guillain-Barre syndrome,"Botulinum toxin can be injected near muscles to block the transmission at the neuromuscular junction. It has many applications in medicine and cosmetics including migraine, underarm sweating and overactive bladder. It cleaves SNARE proteins preventing the release of vesicles of acetylcholine. Botulinum does not cause Guillain-Barre but can be mistaken for it. ",Botulinum toxin injection is recommended for treatment of chronic migraine,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,NMJ 2,Which of the following describes the mechanism of action of neostigmine in reversal of neuromuscular blockade?,,Increases Acetylcholine release from terminal bouton,A gamma cyclodextrin that binds to neuromuscular blockers,Presynaptic potentiation of acetylcholine,Increases calcium concentration in terminal bouton,An anticholinesterase that inhibits the breakdown of acetylcholine,Neostigmine is an anticholinesterase medication that inhibits the enzyme that breaks down acetylcholine at the neuromuscular junction increasing it's action at the nicotinic receptor. It must be given with ,An anticholinesterase that inhibits the breakdown of acetylcholine,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,NMJ 3,A patient has been anaesthetised using a rapid sequence induction. At the end of the case the patient remains apnoeic for 2 hours before beginning to breathe again. What is the most likely genotype for the patient?,https://i.imgur.com/gR78JCP.jpg,E1u/E1u,E1u/E1a,E1a/E1a,E1u/E1s,E1u/E1f,"The genotype for plasma cholinesterase dictates the response to an intubating dose of Suxamethonium. The naming can be difficult to remember. U is for usual. Homozygous usual make up 94% of the population and paralysis lasts 10 to 20 minutes. The other genotypes are: S for silent, A for atypical, F for fluoride sensitive. Heterozygotes are unlikely to have prolonged paralysis. Homozygotes for each abnormal gene(A, F, S) are likely to have prolonged paralysis lasting more than 1 hour.",E1a/E1a,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Pharmacokinetics 1,"A drug obeys first order kinetics and has the following properties: Volume of Distribution 1L/Kg, Half-Life of 1 minute .  An IV bolus of 2000mg is given to a 100kg subject. What is the plasma concentration at 3 minutes?",https://i.imgur.com/PyFpVPk.jpg,10,8.2,5,9.1,2.5,"Getting the answer depends on understanding the relationship between concentration and rate constant of elimination. The initial concentration is 2000 mg / 100 kg  *  1 L / KG = 20mg/L. The concentration will reduce by 50% each minute so will be 10mg at 1 minute, 5mg at 2 minutes and 2.5mg at 3 minutes.",2.5,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Pharmacokinetics 2,A 40 year old male has been booked on CEPOD for incision and drainage of an abscess. He weighs 120 kg and is 185 cm tall. You are preparing to induce the patient with Propofol as your induction agent with a dose of 2 mg/kg. Which weight should you use for calculation of the induction dose of propofol?,,70 kg as the average weight of a male in the UK,85 kg as ideal body weight,120 kg as total body weight,135kg as propofol is highly lipid soluble,97 kg as lean body weight,Induction dose should use the lean body weight which in this case is around 97kg. This is calculated using the equation IBW + 1/3(TBW-IBW). The total body weight should be used for maintenance dose of propofol.,97 kg as lean body weight,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Pharmacokinetics 3,Which of the following medications should be dosed according to Total Body Weight(TBW) rather than Ideal Body Weight(IBW)?,,Rocuronium,Paracetamol,Propofol induction,Suxamethonium,Remifentanil,"Suxamethonium should be dosed according to the total body weight as heavier patients will have increased plasma cholinesterase and extracellular water so the effect will decay sooner. Propofol induction should use IBW but maintenance should be configured using TBW. Rocuronium, Remifentanil and Paracetamol should be dosed using IBW.",Suxamethonium,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Pharmacokinetics 4,Which of the following has the highest volume of distribution?,,Fentanyl,Rocuronium,Atropine,Propofol,Ketamine,Highly lipid soluble drugs have high volumes of distribution. Ketamine is highly lipid soluble with a rapid onset time of a few seconds with a  Vd of 7.5 L/kg. Rocuronium Vd is 0.1 L/kg. Atropine Vd is 1.5 L/kg. Propofol and Fentanyl Vd is 4 L/kg. Thiopentone Vd is 2.4 L/kg.,Ketamine,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Potentials 1,A neuron has a resting membrane potential of -70mV. What change to the following  ion concentration would make the resting membrane potential more negative?,https://i.imgur.com/71DPPXu.jpg,Decreased intracellular sodium concentration ,Increased intracellular potassium concentration,Decreased extracellular concentration of potassium,Increased intracellular sodium concentration,Decreased extracellular concentration of calcium,The cell membrane at rest is most permeable to potassium (and less permeable to sodium and chloride) so the resting membrane potential is -70mV which is close to the Nernst potential for potassium. This increased permeability to potassium is why serum changes in potassium concentration are important because they can lead to unstable membranes and arryhthmia.,Decreased extracellular concentration of potassium,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Potentials 2,What is the exchange ratio of the Sodium/Potassium/ATPase pump?,,Two Potassium ions move into the cell and three Sodium move out of the cell,Two Sodium ions move into the cell and three Potassium move out of the cell,Two Potassium ions move into the cell and two Sodium move out of the cell,Three Sodium ions move into the cell and two  Potassium move out of the cell,Three Potassium ions move into the cell and two Sodium move out of the cell,"The Na/K/ATPase pump is essential in maintaining osmotic equilibrium and negative membrane potential. It is situated in the cell membrane and pumps the ions against their concentration gradient. The concentration of sodium inside the cell is much higher than outside, and the concentration of potassium is much higher inside the cell. The difference potassium concentration is mainly responsible for the membrane potential being -70 mV. When a cell is depolarised, the sodium channels open and sodium moves into the cell rapidly along the concentration gradient.",Two Potassium ions move into the cell and three Sodium move out of the cell,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Potentials 3,The T wave of the ECG is caused by what?,,Atrial repolarisation,Atrial depolarisation,Ventricular depolarisation,Closure of the AV valve,Ventricular repolarisation,The T wave of the ECG is caused by Ventricular repolarisation. The p wave is atrial depolarisation and the QRS is ventricular depolarisation. ,Ventricular repolarisation,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Pressure 1,"The bourdon gauge shows what the gauge pressure is within a size D cylinder. 5 gas cylinders have been filled as per MHRA regulations and then used. If the gauge pressure now reads 20 bar on each of the following 5 cylinders, which one has used up the most proportion of the fluid contained within?",https://i.imgur.com/HodUX9W.jpg,Entonox,Nitrous Oxide,Oxygen,Air,Helium,"Nitrous Oxide cylinders read 44 bar on the gauge  when full, whereas  in a D cylinder whereas all of the others are filled to 137 bar. This is because Nitrous Oxide cylinders contain liquid nitrous oxide so the gauge pressure will remain the Saturated Vapour Pressure while any liquid is present. As the Nitrous oxide is used, the gauge pressure will read 44bar until all of the liquid has evaporated, then the gauge pressure will rapidly fall. This means that if the gauge pressure for a Nitrous Oxide cylinder reads 20 bar then almost all of the contents have been used. Nitrous Oxide cylinders can provide up to 900L of gas which is much more than other cylinders because it is partially stored as a liquid.  All the other gasses mentioned here will be compressed gas within the cylinder and the gauge pressure will fall as the contents are used up.",Nitrous Oxide,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Psych 1,Regarding patients taking Mono-amine oxidase inhibitors(MAOIs) :,,Irreversible MAOIs should be continued in the perioperative period for elective surgery,Vasopressors are absolutely contraindicated  to avoid risk of hypertensive crises,The preferred vasopressor is an indirect sympathomimetic like ephedrine,The preferred vasopressor is a  direct sympathomimetic like phenylephrine,Meperidine is recommended as an safe analgesic in patients taking MAOIs,MAOIs are rarely used these days due to their risks of side effects and interaction. MAOIs interact with indirect and direct  vasopressors but if the patient is hypotensive and requires treatment then IV fluids and the direct acting sympathomimetic Phenylephrine should be used cautiously. Meperidine should be used because it can cause a Serotonergic crisis. ,The preferred vasopressor is a  direct sympathomimetic like phenylephrine,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Reflux 1,The lower oesophageal sphincter is one barrier to life-threatening reflux and aspiration of gastric contents. Which of the following increases the tone of the LOS and thereby decrease the risk of reflux?,,Atropine,Suxamethonium,Fentanyl,Thiopentone,Morphine,"Suxamethonium, Cyclizine, neostigmine and metoclopramide increase the tone of the lower oesophageal sphincter. Opioids, atropine and thiopentone reduce the tone of the lower oesophageal sphincter increasing the risk of reflux and aspiration.",Suxamethonium,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Renal 1,In which part of the nephron is the majority of glucose reabsorbed?,https://i.imgur.com/FMG0iRL.jpg,Ascending limb of the loop of Henle,Proximal Convoluted Tubule,Collecting Duct,Distal Convoluted Tubule,Bowmans Capsule,The majority of glucose reabsorption takes place in the Proximal Convoluted Tubule(PCT). The PCT has adaptations to increase reabsorption of solutes with sodium which is the main co-transporter. ,Proximal Convoluted Tubule,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Renal 2,Which of the following is themes accurate measure of Glomerular Filtration Rate?,,Urea,Inulin,Creatinine,Creatine Kinase,Myoglobin,"Inulin is the gold standard measure of glomerular filtration rate because once administered it's clearance in the urine perfectly represents the GFR because it is neither secreted nor reabsorbed. Although creatinine is the most commonly used measure, the concentrations of it can vary depending on body mass and creatinine is slightly reabsorbed by the kidney.",Inulin,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Respiratory 1,In the pre-assessment clinic a 25 year old has undergone spirometry with normal results. Which of the following is most correct regarding spirometry and pulmonary function tests?,https://i.imgur.com/Bucnpr3.jpg,The FRC is easily measured by spirometry,Static compliance is measured during times of flow,The FEV / FVC should normally be around 65%,The peak flow is a measure of airway resistance,If the FVC is 50% of predicted and the FEV1 is 73% of predicted then there is likely to be a severe restrictive lung disease,Pulmonary function tests are used to help diagnose obstructive and restrictive lung disease. Compliance is the measure of lung expansion per unit of pressure. Dynamic compliance is measure during flow and static compliance is measured at a stop. Peak flow is a measure of obstruction and reversibility. The FEV/FVC should be around 90% and a reduction in combination with a near normal FEV1 indicates a restrictive lung disease.,If the FVC is 50% of predicted and the FEV1 is 73% of predicted then there is likely to be a severe restrictive lung disease,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,RSI 1,A 24 year old male requires urgent general anaesthesia following a road traffic accident. He last ate 45 minutes ago and is feeling nauseated. His HR is 115 and his BP is 112/65. Which choice of drugs for induction of anaesthesia will offer the best chances of securing the airway quickest?,,Fentanyl 2 mcg/kg + Midazolam 5mg,Sevoflurane gas induction,Thiopentone 5mg/kg + Suxamethonium 1mg/kg,Ketamine 2mg/kg + Rocuronium 1mg/kg + Fentanyl 1 mcg/kg,Propofol 2mg/kg + Rocuronium 1mg/kg,"The choice of drugs for a Rapid Sequence Induction (RSI) is still Thiopentone and Suxamethonium when it comes to FRCA questions. The indications for RSI here are quite strong (unfasted, nauseated, recent trauma) so this combination would be a good choice in real life. No contraindication to Suxamethonium have been mentioned in the stem and the question is what would allow you to secure the airway the quickest. Propofol and Rocuronium is a good choice but muscle relaxation and onset of anaesthesia take longer than Thiopentone and Suxamethonium. A gas induction is inappropriate in this case. While Ketamine has an extremely fast onset, rocuronium take around 60s to achieve muscle relaxation.",Thiopentone 5mg/kg + Suxamethonium 1mg/kg,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,RSI 2,"A 25 year old male undergoes a classic RSI prior to laparoscopic appendicectomy. 10 minutes after starting the case you notice the oxygen saturations drop to 90% and the end tidal CO2 increase to 7.5. The patients temperature is 38.9. The Heart rate is 112, the MAC is 1.3 and the blood pressure is 110/65. What is the most appropriate definitive treatment?",https://i.imgur.com/mz1xEmX.jpg,Atenolol 5mg,Increase Sevoflurane to MAC 1.5,Increase the FiO2 to 100%,Fentanyl 100 mcg,Dantrolene 2.5mg/kg,"The diagnosis is Malignant Hyperthermia, as suggested by the increased oxygen consumption, CO2 production, raised temperature and the treatment is Dantrolene 2.5mg/kg. The management for Malignant Hyperthermia is to discontinue the trigger (likely to be Suxamethonium or volatile agent in this case) and ventilate with 100% O2. Total Intravenous Anaesthesia should be commenced and the patient should be cooled if febrile.",Dantrolene 2.5mg/kg,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,RSI 3,A 24 year old male has suffered severe burns causes by a motorcycle accident 2 hours ago. His head and neck have been spared the effects of the burns but he requires intubation due to reduced GCS. What is the most appropriate choice of drugs for induction of anaesthesia?,,"Fentanyl, Ketamine and Rocuronium",Thiopentone & Suxamethonium,Etomidate & Rocuronium,Propofol & Rocuronium,Fentanyl & Midazolam,The RCOA believe that a Rapid Sequence Induction(RSI) should be Thiopentone and Suxamethonium. Suxamethonium is contraindicated in burns sustained more than 24 hours previously due to the risk of hyperkalaemia. It is also possible that he has sustained a severe head injury or spinal injury but Suxamethonium is not contraindicated until day 10 post injury. The risk of Suxamethonium and spinal injury is hyperkalaemia due to extra-junctional receptor activation.,Thiopentone & Suxamethonium,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,RSI 4,"A 55 year old patient with diabetes mellitus and chronic kidney disease has presented with nausea, vomiting and abdominal pain.  A CT scan shows acute appendicitis he is due to be anaesthetised for an emergency appendicectomy on the CEPOD list. His heart rate is 105 and blood pressure is 125/65, sodium level is 138 and potassium 6.0. What is the most appropriate choice of drugs for induction?",,Gas induction,Thiopentone and Rocuronium,Propofol and Suxamethonium,Send for haemodialysis prior to surgery,Awake fibreoptic intubation,This patient requires a rapid sequence induction for an emergency operation. Suxamethonium is contraindicated due to hyperkalaemia and the risk of cardiac arrest. A gas induction is unsafe. Haemodialysis would be an inappropriate delay to surgery. Awake fibreoptic intubation is not suitable in this case and should be considered in anticipated difficult airways. ,Thiopentone and Rocuronium,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Safety 1,Which of the following is most correct regarding high pressure safety features of the anaesthetic machine?,,The high pressure alarm always triggers at a pressure of 30 cmH20,The APL valve will automatically adjust itself to match the patients compliance during spontaneous ventilation,The fresh gas flow will automatically decrease as the pressure within the circuit increases,The anaesthetic machine circuit may be damaged at peak pressure of 30 cmH2O,The anaesthetic reservoir bag has a maximum pressure of 50cmH2O above which it will continue to expand,"There are many high pressure safety features to protect the patient and machine from high pressures(>50 cmH20)  within the circuit. The anaesthetic reservoir bag has a maximum internal pressure of 50cmH20 meaning that it will continue to expand until it bursts. The APL valve has a maximum pressure of 70cmH20 and will vent gas above that (it does not automatically change venting pressure).  The FGF is set by the anaesthetist. The high pressure alarm is set by the anaesthetist although the default may be 30 cmH20. The anaesthetic machine is not damaged by high or low flows, but many be damaged by very high pressures.",The anaesthetic reservoir bag has a maximum pressure of 50cmH2O above which it will continue to expand,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Safety 2,Which of the following is true about O2 Flush button?,,Oxygen passes directly through the flowmeter and vaporising chamber to the common gas outlet,Modern anaesthetic machines do not have an oxygen flush button,The safety pressure valve limits patient exposure to 50 cm H20,The oxygen flush will increase the percentage of sevoflurane in the circuit,The flow of oxygen is between 35 and 75 L/min,The oxygen flush button opens a valve which directly opens the pipeline oxygen into the circuit at pipeline pressure at 4 bar  (>4000 cmH20) and 35 to 75 L/min. The oxygen does not pass through the flowmeter or vaporiser. There is no pressure safety valve so patients are at risk of barotrauma from pressing the oxygen flush button. Pressing the oxygen flush button will decrease the sevoflurane concentration in the circuit putting the patient at risk of awareness. Modern and old anaesthetic machines have an oxygen flush button.,The flow of oxygen is between 35 and 75 L/min,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Safety 3,Which of the following is most correct regarding the targets for maximum environmental concentration of anaesthetic gases in the UK?,,"Halogenated gases - 25 ppm, Nitrous Oxide not regulated","Halogenated gases - 100 ppm, Nitrous Oxide 100 ppm","Halogenated gases - 100 ppm, Nitrous Oxide  not regulated","Halogenated gases - 50 ppm, Nitrous Oxide 100 ppm","Halogenated gases - 2 ppm, Nitrous Oxide 25 ppm",The recommendations: - Halogenated agents - 50 ppm and N2O 100ppm. The British recommendations are much more relaxed than other countries which have much lower accepted gas concentration targets. There is a lower target for Halothane of 10 ppm due to the associated condition called Halothane hepatitis.,"Halogenated gases - 50 ppm, Nitrous Oxide 100 ppm",TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Safety 4,"A 28 year old male patient is being anaesthetised for a laparoscopic appendicectomy. He has no known medical conditions and takes no regular medication. He has been hypotensive and tachycardic in A&E and so has been treated for sepsis with antibiotics, fluid resuscitation and insertion of an arterial line. His capillary blood gas is 6.2 but his arterial blood gas shows a glucose reading of 25 on serial measurements. What is the cause of the discrepancy between arterial and capillary blood gas readings?",,The patient is hyperglycaemic due to undiagnosed diabetes,The arterial line pressure transducer has erroneously been run through with Glucose 5% instead of Sodium Chloride 0.9%,Sampling error - the finger tip is not being cleaned before sample so is reading too low,The patient is hyperglycaemic due to sepsis,Measurement error in gas analyser,"This question is about the difference between the capillary and arterial line glucose. The arterial line glucose measurement is higher because the wrong solution is being used to flush the line. Sodium Chloride 0.9% is the only solution that should be used, but there has been a National Patient Safety Alert due to this error leading to insulin being repeatedly given inappropriately. The patient may have a slight increase in glucose level due to sepsis both the capillary and arterial line glucose would be similar. There is no reason why the patient would have developed diabetes, and the capillary glucose measurement is normal. There is no evidence of gas analyser error and an unclean finger tip usually leads to a higher reading (rather than lower).",The arterial line pressure transducer has erroneously been run through with Glucose 5% instead of Sodium Chloride 0.9%,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Safety 5,A 55 year old patient is booked on the CEPOD list for an emergency Laparoscopic Appendicectomy. She has had a left mastectomy and axillary node clearance. She currently has no IV access in situ. You have been unable to cannulate the patient after 3 failed attempts in the right arm and one attempt in the right foot. She tells you that her left arm is not to be used for blood pressure measurement or cannulation. You have been unable to cannulate the patient after 3 failed attempts in the right arm and one attempt in the right foot. What is the most appropriate next step?,,Insert a cannula in the left antecubital fossa,Postpone the case due to lack of IV access.,Intraosseous Access,Ketamine IM & Suxamethonium IM and then insert cannula after induction,Insert a Central Venous Catheter in the Right Internal Jugular Vein,This is an emergency case and the patient needs IV access prior to being anaesthetised. There is no evidence that a well placed cannula causes any detrimental effects in patients with lymph node clearance. It would be inappropriate to insert a CVC or an IO access when the left arm could safely be used. ,Insert a cannula in the left antecubital fossa,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Safety 6,Which of the following is a safety feature of a syringe pump set-up that would prevent excessive doses being delivered?,,Low pressure alarm,High pressure alarm,Air in line detection,Anti-reflux valve,Anti-siphon valve,The anti-siphon valve is between the syringe and the cannula and acts to prevent excess doses of medication being given due to the difference in gravitational position between the syringe and the cannula. ,Anti-siphon valve,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Safety 7,Which is most correct regarding the heat and moisture exchanger(HME)?,,They are more efficient at high minute volume,The greater the dead space the lower the resistance to breathing,Most efficient after 12 hours of usage,Don't need to be changed between patients,The heat provided to inspired gasses is derived from latent heat of water in expired gasses,When the patient exhales the moisture condenses on the hydrophobic layer heating it. As the dry gas is inspired the water evaporates and heats the air. It is low cost and easily incorporated into a circuit. The efficiency is maximal at 30 minutes and continue for 24 hours. They are more efficient at low minute volume (<10l/min). Greater dead space leads to increased resistance to breathing.,The heat provided to inspired gasses is derived from latent heat of water in expired gasses,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Safety 8,What is the most important safety practice for using TIVA?,https://i.imgur.com/OVmeh02.jpg,EEG is not recommended for use during TIVA,Pumps should be programmed prior to insertion of the syringe,The initial target concentration should be the same for most patients,The infusion line should be clear of leur valves and anti-syphon valves,The cannula being used for TIVA should be visible throughout the procedure,"The Association of Anaesthetists and the Society of Intravenous Anaesthesia have released recommendations for safe use of TIVA which include using one concentration of propofol, using EEG monitoring if NMB is used, programming the pump after the syringe is inserted and choosing the initial concentration to suit the patient.",The cannula being used for TIVA should be visible throughout the procedure,TRUE,FALSE,FALSE
